番号,学年,単語,意味,番号,学年,単語,意味
,,,,498,中学2年,spaceship,宇宙船
,,,,499,中学2年,special,特別の
,,,,500,中学2年,speech,演説
,,,,501,中学2年,spend,費やす，過ごす
,,,,502,中学2年,sport,スポーツ
,,,,503,中学2年,stand,立っている
,,,,504,中学2年,star,星，スター
,,,,505,中学2年,start,出発する，～を始める
,,,,506,中学2年,station,駅
,,,,507,中学2年,stay,滞在(する)
,,,,508,中学2年,still,まだ
,,,,509,中学2年,stone,石
,,,,510,中学2年,stop,止める
,,,,511,中学2年,store,店
,,,,512,中学2年,storm,嵐
,,,,513,中学2年,story,話
,,,,514,中学2年,strange,奇妙な
,,,,515,中学2年,street,通り
,,,,516,中学2年,strike,打つ
,,,,517,中学2年,strong,強い
,,,,518,中学2年,success,成功
,,,,519,中学2年,such,そのような
,,,,520,中学2年,sugar,砂糖
,,,,521,中学2年,sun,太陽
,,,,522,中学2年,sure,確信して
,,,,523,中学2年,surf,ネットサーフィンする
,,,,524,中学2年,surprised,驚いた
,,,,525,中学2年,sweater,セーター
,,,,526,中学2年,table,テーブル
,,,,527,中学2年,take,(時間が)かかる，連れて行く，持っていく，取る
,,,,528,中学2年,take care,おだいじに
,,,,529,中学2年,talk,話す
,,,,530,中学2年,taught,教えた
,,,,531,中学2年,tea,お茶
,,,,532,中学2年,teach,教える
,,,,533,中学2年,team,チーム
,,,,534,中学2年,tell,教える，語る
,,,,535,中学2年,test,試験
,,,,536,中学2年,test paper,試験の答案用紙
,,,,537,中学2年,textbook,教科書
,,,,538,中学2年,than,…よりも
,,,,539,中学2年,thank,感謝する
,,,,540,中学2年,thing,もの、こと
,,,,541,中学2年,think,考える
,,,,542,中学2年,thirsty,のどが渇いた
,,,,543,中学2年,thought,考えた、思った
,,,,544,中学2年,thousand,千
,,,,545,中学2年,threw,投げた
,,,,546,中学2年,through,…を通じて
,,,,547,中学2年,throw,投げる
,,,,548,中学2年,tired,疲れて
,,,,549,中学2年,together,いっしょに
,,,,550,中学2年,told,教えた
,,,,551,中学2年,tomorrow,明日
,,,,552,中学2年,ton,トン
,,,,553,中学2年,took,取った
,,,,554,中学2年,tooth,歯
,,,,555,中学2年,top,頂上
,,,,556,中学2年,town,町
,,,,557,中学2年,traffic light,交通信号
,,,,558,中学2年,train,列車
,,,,559,中学2年,travel,旅行
,,,,560,中学2年,trip,旅行
,,,,561,中学2年,truck,トラック
,,,,562,中学2年,try,努める
,,,,563,中学2年,T-shirt,ティーシャツ
,,,,564,中学2年,turn,曲がる，回る，変化する
,,,,565,中学2年,TV,テレビ
,,,,566,中学2年,uh-huh,うんうん
,,,,567,中学2年,understand,理解する
,,,,568,中学2年,United States,アメリカ合衆国
,,,,569,中学2年,useful,役に立つ
,,,,570,中学2年,usual,通常の
,,,,571,中学2年,usual ～,通常の
,,,,572,中学2年,vacation,休暇
,,,,573,中学2年,vegetable,野菜
,,,,574,中学2年,video,ビデオ
,,,,575,中学2年,video game,ビデオゲーム
,,,,576,中学2年,village,村
,,,,577,中学2年,visit,訪れる
,,,,578,中学2年,voice,声
,,,,579,中学2年,wake,目が覚める
,,,,580,中学2年,war,戦争
,,,,581,中学2年,warm,あたたかい
,,,,582,中学2年,was,"[is, am]…であった"
,,,,583,中学2年,wash,押し流す
,,,,584,中学2年,waste,廃棄物
,,,,585,中学2年,watch,見る
,,,,586,中学2年,water,水
,,,,587,中学2年,way,道、方法、やりかた
,,,,588,中学2年,weak,弱い
,,,,589,中学2年,wear,着る
,,,,590,中学2年,weekend,週末
,,,,591,中学2年,weigh,重さがある
,,,,592,中学2年,welcome,ようこそ
,,,,593,中学2年,well,健康な
,,,,594,中学2年,were,[are]…であった
,,,,595,中学2年,west,西
,,,,596,中学2年,white,白い
,,,,597,中学2年,why,なぜ
,,,,598,中学2年,wide,幅が広い
,,,,599,中学2年,wife,妻
,,,,600,中学2年,will,…するつもりである
,,,,601,中学2年,win,勝つ
,,,,602,中学2年,wind,風
,,,,603,中学2年,wish,望む
,,,,604,中学2年,without,…なしで[に]
,,,,605,中学2年,wonderful,すばらしい
,,,,606,中学2年,wood,木材
,,,,607,中学2年,word,言葉
,,,,608,中学2年,work,働く
,,,,609,中学2年,world,世界
,,,,610,中学2年,worry,悩ませる
,,,,611,中学2年,wrong,調子が悪い
,,,,612,中学2年,yellow,黄色の
,,,,613,中学2年,young,若い
,,,,614,中学2年,zoo,動物園
